Datasets,num_columns,num_rows,target_type,num_nan,num_float,num_int,perc_nan,Algorithm,Quality,Coverage,Support,WRAcc,Significance,Confidence,# of Subgroups,Length of Rules
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,sd,,0.0,0.0,0.0,,0.0,4.0,2.0
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,cn2_sd,-2.091017709027701,0.004530985378483583,9.852109977133253e-07,-9.95353222492275e-08,0.03809132697069303,9.852109977133253e-07,243.0,4.185185185185185
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,sd_map,1.5357839048178725,0.3045566993855239,0.0,0.0,1.1680535881958865e-59,0.0,255.0,4.015686274509804
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,dssd,1.686730481982582,0.1823078764663634,0.0,0.0,6.041981755196386e-67,0.0,6.0,4.015686274509804
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.54
abalone,9,4177,Multinomial,1342.0,9,0,3.5700000000000003,a,,0.7521396158898676,0.2288207598097894,0.07708925599813622,1.2002472790449621e-35,0.7521396158898676,255.0,4.015686274509804
balance-scale,5,625,Binary,288.0,5,0,9.216000000000001,sd,-0.12159999999999993,0.01,0.008,-0.001216,,0.2,4.0,2.0
balance-scale,5,625,Binary,288.0,5,0,9.216000000000001,cn2_sd,-0.12733935477087452,0.03738181818181818,0.03277575757575757,-0.0016753260606060607,0.007495910010762314,0.5224727272727273,33.0,3.121212121212121
balance-scale,5,625,Binary,288.0,5,0,9.216000000000001,sd_map,-0.011999999999999966,0.25600000000000006,0.23423999999999995,-0.0016896000000000133,0.691478956177125,0.9096,10.0,1.6
balance-scale,5,625,Binary,288.0,5,0,9.216000000000001,dssd,-0.02159999999999999,0.16,0.14400000000000002,-0.003455999999999996,0.5308433878595394,0.8999999999999999,6.0,1.6
balance-scale,5,625,Binary,288.0,5,0,9.216000000000001,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.38
car,7,1728,Binary,4454.0,7,0,36.822,sd,0.2465277777777778,0.027777777777777776,0.013020833333333334,0.006847993827160495,,0.1171875,4.0,2.0
car,7,1728,Binary,4454.0,7,0,36.822,cn2_sd,-0.777928035730712,0.26603349673202614,0.04641544117647059,-0.012703113652868551,0.0828139259557915,0.16362989061365288,34.0,3.264705882352941
car,7,1728,Binary,4454.0,7,0,36.822,sd_map,0.08487654320987656,0.23148148148148145,0.0672582304526749,0.015817901234567906,0.21657109362149252,0.30709876543209874,9.0,1.3333333333333333
car,7,1728,Binary,4454.0,7,0,36.822,dssd,0.08998842592592594,0.18055555555555555,0.051408179012345685,0.011284722222222224,0.23548595543808357,0.3122106481481482,6.0,1.3333333333333333
